Complex Word;Complex Word Corpus Frequency;Replacements;Example Sentence;Quality;Coverage;Complexity
option;49;{'val': 1942};Hans första option var inte ett nazistiskt styre även om han fördrog det framför ett liberalt eller kommunistiskt.;1;0;1
rutten;28;{'fördärvad': 2, 'murken': 0, 'taskig': 88, 'usel': 120};Stillastående vatten blir snart skämt och ruttet.;0;1;0
skiss;26;{'utkast': 52};Detta för oss in på  som jag ser det  den andra bristen i LOs och SAPs skiss till löntagarfonder.;1;0;0
arrestera;7;{'anhålla': 4, 'frihetsberöva': 2, 'gripa': 43};Men jag tror polisen bara arresterade en av dom den här gången.;1;1;0
allergi;169;{'överkänslighet': 14};Jag har allergi mot pälsdjur.;1;1;0
fortgå;30;{'fortskrida': 3, 'fortsätta': 3737, 'förlöpa': 0, 'löpa': 70, 'pågå': 68};Sharons retorik blev allt grövre i takt med att fredsprocessen fortgick.;1;1;1
smörja;266;{'inolja': 0, 'olja': 1538};Jag smörjer dem och beströr dem ofta med mjöl innan jag trycker ner degen.;1;1;0
lokalisera;22;{'finna': 739, 'hitta': 130, 'spåra': 65};Polisen lokaliserade under dagen de män som flickorna uppger har drogat dem.;1;1;1
modifiera;21;{'anpassa': 203, 'förändra': 744, 'ändra': 1627};Vi modifierar nu smittkoppsmodellen till influensa.;1;1;1
korrekthet;16;{'riktighet': 3};Facebook applikation  vars korrekthet kan ifrågasättas.;1;1;1
karakterisera;0;{'beskriva': 961, 'känneteckna': 2, 'utmärka': 15};Han har studerat statsvetenskap vid Helsingfors universitet och identifierar sig med socialdemokraterna och karakteriserar sig som en teknokrat.;1;0;1
tortera;17;{'plåga': 87};När de hade anlänt blev de attackerade Völsung dödades i strid och hans bröder torterades senare till döds.;1;0;0
förorsaka;3;{'bringa': 36, 'framkalla': 124, 'orsaka': 145, 'vålla': 2, 'åsamka': 6};Händelsen LU förorsakade vid lunchtid totalstopp på riksväg 26.;1;1;1
skingra;20;{'splittra': 41, 'upplösa': 24};När trupper från armén dök upp i pansarvagnar och spärrade av staden skingrades demonstranterna.;1;0;0
uträtta;67;{'bestyra': 0, 'genomdriva': 13, 'genomföra': 562, 'göra': 37181, 'utföra': 432, 'åstadkomma': 180};Du har uträttat många fantastiska saker.;1;0;1
tillfällighet;41;{'slump': 336};Att de flesta skilsmässor i Sverige sker efter semestern är knappast en tillfällighet.;1;1;0
plåga;87;{'anfäkta': 0, 'besvära': 6, 'misshandla': 27, 'terrorisera': 13, 'tortera': 17};Men Holm fortsatte bara att plåga hustrun och barnen så att familjesituationen blev värre än förut.;0;0;0
avslappnad;254;{'cool': 1295};Det var riktigt trevligt att läsa intervjun med Mikael Sjövall i lördagens ÅU. En avslappnad pratstund med ÅU.;0;0;0
nu;83977;{'genast': 1121, 'omedelbart': 450};Sätt spår i framtiden nu;1;1;0
hej;2602;{'goddag': 16, 'goddagens': 1, 'halloj': 1, 'hallå': 366, 'hejsan': 48, 'helloj': 1, 'mors': 123, 'morsning': 1, 'tja': 252, 'tjaa': 6, 'tjabba': 0};Hej hej på er.;1;1;0
uppmärksam;103;{'alert': 26, 'lyhörd': 49, 'observant': 11, 'vaken': 1285};Vi ska vara uppmärksamma mot politiker som på ett dolt sätt försöker underblåsa misshälligheter mellan folk.;1;1;0
dundra;17;{'dån': 4, 'dåna': 0, 'mullra': 6};En barsk röst dundrade oavbrutet men talaren var dold av mängden Kompromissarna säger att vi är isolerade. Bry er inte om vad de säger.;1;1;0
hallå;366;{'halloj': 1, 'hej': 2602, 'hejsan': 48};Erik hallå vad gör du;0;0;0
utkant;11;{'gränsområde': 0, 'periferi': 4, 'ytterkant': 13};Parken låg förr i utkanten av Lund.;1;1;0
överträda;0;{'överskrida': 22};Den som överträder förbudet riskerar böter på 2 500 kronor.;0;0;0
undervärdera;1;{'underskatta': 35};Vägverket undervärderar kostnaderna för en Öckeröbro.;1;1;1
godhet;38;{'barmhärtighet': 7, 'snällhet': 8, 'välvilja': 27, 'vänlighet': 34};Den berättar enkelt om ondska och godhet mörker och ljus.;1;1;0
obekant;17;{'främmande': 420, 'okänd': 271};Datorn är inget obekant arbetsredskap för Folktandvårdens anställda.;1;1;0
precision;79;{'exakthet': 9, 'noggrannhet': 20};Med klinisk precision klingar såväl piano och stråkar som mystiska ljudlandskap in i kroppen.;1;0;0
artikulera;4;{'uttala': 199};Någonstans måste man som medborgare kunna artikulera kritik mot makten.;1;1;1
stråla;22;{'radiera': 0};Jag går och går och går och värmen strålar från mina hälar upp genom mina ben och jag har aldrig känt mej så rofylld förut i hela mitt liv.;1;1;0
beväpna;2;{'bepansra': 0, 'bestycka': 0, 'rusta': 51};Planet kan även beväpnas för att användas som lätt attackplan.;1;1;0
